ACCOUNT,DAY_OPENED,Y_PRED
16221,20170928,
16222,20190910,
16223,20160815,
16224,20160909,
16225,20161122,
16226,20190418,
16227,20190426,
16228,20190329,
16229,20160517,
16230,20160725,
16231,20190320,
16232,20180214,
16233,20190416,
16234,20180327,
16235,20180820,
16236,20190516,
16237,20160121,
16238,20190808,
16239,20181018,
16240,20190614,
16241,20190827,
16242,20161208,
16243,20160421,
16244,20160902,
16245,20190728,
16246,20180801,
16247,20160826,
16248,20180427,
16249,20170311,
16250,20190414,
16251,20190621,
16252,20171012,
16253,20190712,
16254,20170502,
16255,20170417,
16256,20190624,
16257,20181212,
16258,20160823,
16259,20180727,
16260,20190328,
16261,20171129,
16262,20190805,
16263,20181024,
16264,20160406,
16265,20181011,
16266,20190614,
16267,20191125,
16268,20180717,
16269,20180912,
16270,20180808,
16271,20190930,
16272,20190724,
16273,20190605,
16274,20190626,
16275,20160920,
16276,20170405,
16277,20191108,
16278,20190911,
16279,20190426,
16280,20190121,
16281,20190429,
16282,20170306,
16283,20160315,
16284,20180709,
16285,20180418,
16286,20181207,
16287,20190516,
16288,20151229,
16289,20190426,
16290,20160822,
16291,20191210,
16292,20190111,
16293,20190313,
16294,20190407,
16295,20170824,
16296,20190503,
16297,20170707,
16298,20190729,
16299,20190515,
16300,20190730,
16301,20190429,
16302,20190714,
16303,20161010,
16304,20190923,
16305,20160614,
16306,20180817,
16307,20160519,
16308,20191107,
16309,20190618,
16310,20170912,
16311,20171127,
16312,20180419,
16313,20190523,
16314,20190221,
16315,20160831,
16316,20190911,
16317,20190128,
16318,20190103,
16319,20170515,
16320,20190617,
16321,20190720,
16322,20180702,
16323,20181103,
16324,20180725,
16325,20170717,
16326,20190214,
16327,20190815,
16328,20160414,
16329,20190920,
16330,20181018,
16331,20170920,
16332,20170508,
16333,20190802,
16334,20190612,
16335,20160817,
16336,20190529,
16337,20180726,
16338,20160411,
16339,20161008,
16340,20161212,
16341,20190516,
16342,20160412,
16343,20180113,
16344,20180629,
16345,20190426,
16346,20190802,
16347,20180820,
16348,20190807,
16349,20190730,
16350,20180206,
16351,20180131,
16352,20181129,
16353,20190724,
16354,20190831,
16355,20190508,
16356,20190429,
16357,20161019,
16358,20161109,
16359,20190628,
16360,20161220,
16361,20170606,
16362,20190904,
16363,20180626,
16364,20170621,
16365,20190421,
16366,20171227,
16367,20190606,
16368,20160125,
16369,20160912,
16370,20180907,
16371,20190627,
16372,20181106,
16373,20190705,
16374,20161018,
16375,20190429,
16376,20160513,
16377,20171208,
16378,20170815,
16379,20190424,
16380,20151228,
16381,20161103,
16382,20170311,
16383,20190801,
16384,20171130,
16385,20181026,
16386,20151215,
16387,20190603,
16388,20161107,
16389,20190522,
16390,20190606,
16391,20190902,
16392,20180531,
16393,20180118,
16394,20190731,
16395,20190617,
16396,20161019,
16397,20190523,
16398,20190111,
16399,20180916,
16400,20190622,
16401,20190708,
16402,20190604,
16403,20180404,
16404,20190816,
16405,20180222,
16406,20190618,
16407,20180315,
16408,20190428,
16409,20190606,
16410,20180417,
16411,20170927,
16412,20190522,
16413,20171013,
16414,20190809,
16415,20180110,
16416,20180731,
16417,20190701,
16418,20170526,
16419,20181010,
16420,20160426,
16421,20190506,
16422,20190519,
16423,20190715,
16424,20160728,
16425,20190614,
16426,20190717,
16427,20190711,
16428,20171122,
16429,20190530,
16430,20170815,
16431,20190508,
16432,20160808,
16433,20190618,
16434,20190722,
16435,20170410,
16436,20170612,
16437,20190616,
16438,20180828,
16439,20180122,
16440,20190730,
16441,20170922,
16442,20180625,
16443,20190614,
16444,20190505,
16445,20191017,
16446,20181214,
16447,20170302,
16448,20170719,
16449,20160322,
16450,20190826,
16451,20171019,
16452,20170825,
16453,20190614,
16454,20190301,
16455,20190618,
16456,20190911,
16457,20170815,
16458,20190913,
16459,20180124,
16460,20181231,
16461,20190604,
16462,20190722,
16463,20190112,
16464,20170410,
16465,20190615,
16466,20181112,
16467,20170308,
16468,20180625,
16469,20160803,
16470,20160906,
16471,20190607,
16472,20190616,
16473,20190827,
16474,20170911,
16475,20190509,
16476,20180914,
16477,20190314,
16478,20171130,
16479,20161226,
16480,20181130,
16481,20190412,
16482,20161028,
16483,20170718,
16484,20190618,
16485,20190520,
16486,20190614,
16487,20191226,
16488,20170527,
16489,20170311,
16490,20190702,
16491,20190530,
16492,20190613,
16493,20180118,
16494,20190516,
16495,20160509,
16496,20190516,
16497,20190822,
16498,20170510,
16499,20190806,
16500,20170306,
16501,20180605,
16502,20191206,
16503,20190709,
16504,20190327,
16505,20190501,
16506,20160829,
16507,20180201,
16508,20170921,
16509,20190823,
16510,20181012,
16511,20160825,
16512,20190703,
16513,20190610,
16514,20170311,
16515,20170818,
16516,20190820,
16517,20170615,
16518,20190901,
16519,20180206,
16520,20190108,
16521,20191223,
16522,20190917,
16523,20190521,
16524,20180403,
16525,20190503,
16526,20180813,
16527,20161025,
16528,20191015,
16529,20151217,
16530,20190516,
16531,20151222,
16532,20181227,
16533,20190616,
16534,20190329,
16535,20170711,
16536,20190128,
16537,20190619,
16538,20171030,
16539,20170330,
16540,20190705,
16541,20190812,
16542,20170821,
16543,20180408,
16544,20190327,
16545,20181207,
16546,20190804,
16547,20180529,
16548,20160510,
16549,20190620,
16550,20181210,
16551,20191006,
16552,20170419,
16553,20170630,
16554,20180702,
16555,20190414,
16556,20190108,
16557,20190415,
16558,20190522,
16559,20160722,
16560,20191028,
16561,20190710,
16562,20190125,
16563,20190518,
16564,20190226,
16565,20171130,
16566,20170425,
16567,20180309,
16568,20181106,
16569,20160122,
16570,20180525,
16571,20180330,
16572,20151127,
16573,20170525,
16574,20190822,
16575,20190717,
16576,20190201,
16577,20181015,
16578,20190723,
16579,20160914,
16580,20171116,
16581,20191203,
16582,20190617,
16583,20160304,
16584,20190509,
16585,20171027,
16586,20170407,
16587,20190619,
16588,20160927,
16589,20190627,
16590,20180725,
16591,20190722,
16592,20190920,
16593,20190530,
16594,20180206,
16595,20170828,
16596,20190416,
16597,20181008,
16598,20190507,
16599,20190619,
16600,20171023,
16601,20190715,
16602,20181204,
16603,20180202,
16604,20181011,
